player,salary,season_start,season_end,team,team_name,Pos,Age
Kent Bazemore,16910113,2017,2018,ATL,Atlanta Hawks,SF,27.0
Dennis Schroder,15500000,2017,2018,ATL,Atlanta Hawks,PG,23.0
Miles Plumlee,12500000,2017,2018,ATL,Atlanta Hawks,C,28.0
Jamal Crawford,10942762,2017,2018,ATL,Atlanta Hawks,SG,36.0
Marco Belinelli,6606060,2017,2018,ATL,Atlanta Hawks,SG,30.0
Dewayne Dedmon,6000000,2017,2018,ATL,Atlanta Hawks,C,27.0
Ersan Ilyasova,6000000,2017,2018,ATL,Atlanta Hawks,PF,29.0
Mike Muscala,5000000,2017,2018,ATL,Atlanta Hawks,C,25.0
Malcolm Delaney,2500000,2017,2018,ATL,Atlanta Hawks,PG,27.0
Richard Jefferson,2500000,2017,2018,ATL,Atlanta Hawks,SF,36.0
Taurean Waller-Prince,2422560,2017,2018,ATL,Atlanta Hawks,SF,22.0
Luke Babbitt,1974159,2017,2018,ATL,Atlanta Hawks,SF,27.0
John Collins,1936920,2017,2018,ATL,Atlanta Hawks,,
Mike Dunleavy,1662500,2017,2018,ATL,Atlanta Hawks,SF,36.0
DeAndre\' Bembry,1567200,2017,2018,ATL,Atlanta Hawks,,
Nicolas Brussino,1312611,2017,2018,ATL,Atlanta Hawks,SG,23.0
Diamond Stone,1312611,2017,2018,ATL,Atlanta Hawks,C,19.0
Isaiah Taylor,1312611,2017,2018,ATL,Atlanta Hawks,PG,22.0
Tyler Dorsey,815615,2017,2018,ATL,Atlanta Hawks,,
Quinn Cook,100000,2017,2018,ATL,Atlanta Hawks,PG,23.0
Jeremy Evans,50000,2017,2018,ATL,Atlanta Hawks,,
Tyler Cavanaugh,50000,2017,2018,ATL,Atlanta Hawks,,
DeAndre Liggins,26773,2017,2018,ATL,Atlanta Hawks,SG,28.0
Gordon Hayward,29727900,2017,2018,BOS,Boston Celtic,SF,26.0
Al Horford,27734405,2017,2018,BOS,Boston Celtic,C,30.0
Kyrie Irving,18868625,2017,2018,BOS,Boston Celtic,PG,24.0
Jayson Tatum,5645400,2017,2018,BOS,Boston Celtic,,
Marcus Morris,5000000,2017,2018,BOS,Boston Celtic,SF,27.0
Jaylen Brown,4956480,2017,2018,BOS,Boston Celtic,SF,20.0
Marcus Smart,4538020,2017,2018,BOS,Boston Celtic,SG,22.0
Aron Baynes,4328000,2017,2018,BOS,Boston Celtic,C,30.0
Guerschon Yabusele,2247480,2017,2018,BOS,Boston Celtic,,
Terry Rozier,1988520,2017,2018,BOS,Boston Celtic,PG,22.0
Shane Larkin,1524305,2017,2018,BOS,Boston Celtic,,
Semi Ojeleye,1291892,2017,2018,BOS,Boston Celtic,,
Abdel Nader,1167333,2017,2018,BOS,Boston Celtic,,
Daniel Theis,815615,2017,2018,BOS,Boston Celtic,,
Demetrius Jackson,92858,2017,2018,BOS,Boston Celtic,PG,22.0
Dwight Howard,23500000,2017,2018,CHA,Charlotte Hornets,C,31.0
Nicolas Batum,22434783,2017,2018,CHA,Charlotte Hornets,SG,28.0
Marvin Williams,13168750,2017,2018,CHA,Charlotte Hornets,PF,30.0
Michael Kidd-Gilchrist,13000000,2017,2018,CHA,Charlotte Hornets,SF,23.0
Cody Zeller,12584270,2017,2018,CHA,Charlotte Hornets,C,24.0
Kemba Walker,12000000,2017,2018,CHA,Charlotte Hornets,PG,26.0
Jeremy Lamb,7000000,2017,2018,CHA,Charlotte Hornets,SG,24.0
Malik Monk,2904480,2017,2018,CHA,Charlotte Hornets,,
Frank Kaminsky,2847600,2017,2018,CHA,Charlotte Hornets,C,23.0
Michael Carter-Williams,2700000,2017,2018,CHA,Charlotte Hornets,PG,25.0
Johnny O\'Bryant,1524305,2017,2018,CHA,Charlotte Hornets,,
Julyan Stone,1524305,2017,2018,CHA,Charlotte Hornets,,
Treveon Graham,1312611,2017,2018,CHA,Charlotte Hornets,SG,23.0
Dwayne Bacon,815615,2017,2018,CHA,Charlotte Hornets,,
Dwyane Wade,15550000,2017,2018,CHI,Chicago Bulls,SG,35.0
Robin Lopez,13788500,2017,2018,CHI,Chicago Bulls,C,28.0
Nikola Mirotic,12500000,2017,2018,CHI,Chicago Bulls,PF,25.0
Cristiano Felicio,7843500,2017,2018,CHI,Chicago Bulls,C,24.0
Justin Holiday,4615385,2017,2018,CHI,Chicago Bulls,SG,27.0
Kris Dunn,4046760,2017,2018,CHI,Chicago Bulls,PG,22.0
Quincy Pondexter,3853931,2017,2018,CHI,Chicago Bulls,,
Lauri Markkanen,3821640,2017,2018,CHI,Chicago Bulls,,
Zach LaVine,3202217,2017,2018,CHI,Chicago Bulls,SG,21.0
Rajon Rondo,3000000,2017,2018,CHI,Chicago Bulls,PG,30.0
Cameron Payne,2203440,2017,2018,CHI,Chicago Bulls,PG,22.0
Denzel Valentine,2186400,2017,2018,CHI,Chicago Bulls,SG,23.0
Jerian Grant,1713840,2017,2018,CHI,Chicago Bulls,PG,24.0
Bobby Portis,1516320,2017,2018,CHI,Chicago Bulls,PF,21.0
Paul Zipser,1312611,2017,2018,CHI,Chicago Bulls,SF,22.0
Kay Felder,1312611,2017,2018,CHI,Chicago Bulls,PG,21.0
David Nwaba,1312611,2017,2018,CHI,Chicago Bulls,SG,24.0
Isaiah Canaan,200000,2017,2018,CHI,Chicago Bulls,SG,25.0
Jarell Eddie,17224,2017,2018,CHI,Chicago Bulls,SF,25.0
LeBron James,33285709,2017,2018,CLE,Cleveland Caveliers,SF,32.0
Kevin Love,22642350,2017,2018,CLE,Cleveland Caveliers,PF,28.0
Tristan Thompson,16400000,2017,2018,CLE,Cleveland Caveliers,C,25.0
J.R. Smith,13760000,2017,2018,CLE,Cleveland Caveliers,SG,31.0
Iman Shumpert,10337079,2017,2018,CLE,Cleveland Caveliers,SG,26.0
Channing Frye,7420912,2017,2018,CLE,Cleveland Caveliers,C,33.0
Kyle Korver,7000000,2017,2018,CLE,Cleveland Caveliers,SG,35.0
Jae Crowder,6796117,2017,2018,CLE,Cleveland Caveliers,SF,26.0
Isaiah Thomas,6261395,2017,2018,CLE,Cleveland Caveliers,PG,27.0
Cedi Osman,2642857,2017,2018,CLE,Cleveland Caveliers,,
Jose Calderon,2328652,2017,2018,CLE,Cleveland Caveliers,PG,35.0
Jeff Green,2116955,2017,2018,CLE,Cleveland Caveliers,PF,30.0
Derrick Rose,2116955,2017,2018,CLE,Cleveland Caveliers,PG,28.0
Ante Zizic,1645200,2017,2018,CLE,Cleveland Caveliers,,
Harrison Barnes,23112004,2017,2018,DAL,Dallas Mavericks,PF,24.0
Wesley Matthews,17884176,2017,2018,DAL,Dallas Mavericks,SG,30.0
Dwight Powell,9003125,2017,2018,DAL,Dallas Mavericks,C,25.0
Josh McRoberts,6021175,2017,2018,DAL,Dallas Mavericks,PF,29.0
Dirk Nowitzki,5000000,2017,2018,DAL,Dallas Mavericks,PF,38.0
Devin Harris,4402546,2017,2018,DAL,Dallas Mavericks,PG,33.0
Nerlens Noel,4187599,2017,2018,DAL,Dallas Mavericks,C,22.0
J.J. Barea,3903900,2017,2018,DAL,Dallas Mavericks,PG,32.0
Dennis Smith,3218280,2017,2018,DAL,Dallas Mavericks,,
Seth Curry,3028410,2017,2018,DAL,Dallas Mavericks,PG,26.0
Jeff Withey,1577320,2017,2018,DAL,Dallas Mavericks,C,26.0
Salah Mejri,1471382,2017,2018,DAL,Dallas Mavericks,C,30.0
Dorian Finney-Smith,1312611,2017,2018,DAL,Dallas Mavericks,PF,23.0
Yogi Ferrell,1312611,2017,2018,DAL,Dallas Mavericks,PG,23.0
Maxi Kleber,815615,2017,2018,DAL,Dallas Mavericks,,
Gal Mekel,315760,2017,2018,DAL,Dallas Mavericks,,
Gian Clavell,50000,2017,2018,DAL,Dallas Mavericks,,
Paul Millsap,31269231,2017,2018,DEN,Denver Nuggets,PF,31.0
Mason Plumlee,14041096,2017,2018,DEN,Denver Nuggets,C,26.0
Kenneth Faried,12921348,2017,2018,DEN,Denver Nuggets,PF,27.0
Wilson Chandler,12016854,2017,2018,DEN,Denver Nuggets,SF,29.0
Darrell Arthur,7464912,2017,2018,DEN,Denver Nuggets,PF,28.0
Jameer Nelson,4736050,2017,2018,DEN,Denver Nuggets,PG,34.0
Will Barton,3533333,2017,2018,DEN,Denver Nuggets,SG,26.0
Emmanuel Mudiay,3381480,2017,2018,DEN,Denver Nuggets,PG,20.0
Jamal Murray,3355320,2017,2018,DEN,Denver Nuggets,SG,19.0
Gary Harris,2550055,2017,2018,DEN,Denver Nuggets,SG,22.0
Trey Lyles,2441400,2017,2018,DEN,Denver Nuggets,PF,21.0
Juan Hernangomez,2076840,2017,2018,DEN,Denver Nuggets,PF,21.0
Malik Beasley,1700640,2017,2018,DEN,Denver Nuggets,SG,20.0
Tyler Lydon,1579440,2017,2018,DEN,Denver Nuggets,,
Nikola Jokic,1471382,2017,2018,DEN,Denver Nuggets,C,21.0
Andre Drummond,23775506,2017,2018,DET,Detroit Pistons,C,23.0
Tobias Harris,16000000,2017,2018,DET,Detroit Pistons,PF,24.0
Reggie Jackson,16000000,2017,2018,DET,Detroit Pistons,PG,26.0
Jon Leuer,10497319,2017,2018,DET,Detroit Pistons,PF,27.0
Avery Bradley,8808989,2017,2018,DET,Detroit Pistons,SG,26.0
Boban Marjanovic,7000000,2017,2018,DET,Detroit Pistons,C,28.0
Langston Galloway,6666667,2017,2018,DET,Detroit Pistons,PG,25.0
Ish Smith,6000000,2017,2018,DET,Detroit Pistons,PG,28.0
Josh Smith,5400000,2017,2018,DET,Detroit Pistons,,
Anthony Tolliver,3290000,2017,2018,DET,Detroit Pistons,PF,31.0
Stanley Johnson,3097800,2017,2018,DET,Detroit Pistons,SF,20.0
Luke Kennard,2759280,2017,2018,DET,Detroit Pistons,,
Reggie Bullock,2500000,2017,2018,DET,Detroit Pistons,SF,25.0
Henry Ellenson,1780800,2017,2018,DET,Detroit Pistons,PF,20.0
Eric Moreland,1739333,2017,2018,DET,Detroit Pistons,,
Michael Gbinije,500000,2017,2018,DET,Detroit Pistons,SG,24.0
Aaron Gray,452059,2017,2018,DET,Detroit Pistons,,
Beno Udrih,25000,2017,2018,DET,Detroit Pistons,PG,34.0
Stephen Curry,34682550,2017,2018,GSW,Golden State Warriors,PG,28.0
Kevin Durant,25000000,2017,2018,GSW,Golden State Warriors,PF,28.0
Klay Thompson,17826150,2017,2018,GSW,Golden State Warriors,SG,26.0
Draymond Green,16400000,2017,2018,GSW,Golden State Warriors,PF,26.0
Andre Iguodala,14814815,2017,2018,GSW,Golden State Warriors,SF,33.0
Shaun Livingston,7692308,2017,2018,GSW,Golden State Warriors,PG,31.0
Nick Young,5192000,2017,2018,GSW,Golden State Warriors,SG,31.0
Zaza Pachulia,3477600,2017,2018,GSW,Golden State Warriors,C,32.0
David West,2328652,2017,2018,GSW,Golden State Warriors,C,36.0
JaVale McGee,2116955,2017,2018,GSW,Golden State Warriors,C,29.0
Omri Casspi,2106470,2017,2018,GSW,Golden State Warriors,PF,28.0
Kevon Looney,1471382,2017,2018,GSW,Golden State Warriors,C,20.0
Patrick McCaw,1312611,2017,2018,GSW,Golden State Warriors,SG,21.0
Damian Jones,1312611,2017,2018,GSW,Golden State Warriors,C,21.0
Jason Thompson,945126,2017,2018,GSW,Golden State Warriors,,
Jordan Bell,815615,2017,2018,GSW,Golden State Warriors,,
James Harden,28299399,2017,2018,HOU,Houston Rockets,PG,27.0
Chris Paul,24599495,2017,2018,HOU,Houston Rockets,PG,31.0
Ryan Anderson,19578455,2017,2018,HOU,Houston Rockets,PF,28.0
Eric Gordon,12943020,2017,2018,HOU,Houston Rockets,SG,28.0
P.J. Tucker,7590035,2017,2018,HOU,Houston Rockets,SF,31.0
Trevor Ariza,7420912,2017,2018,HOU,Houston Rockets,SF,31.0
Nene Hilario,3477600,2017,2018,HOU,Houston Rockets,C,34.0
Tarik Black,3290000,2017,2018,HOU,Houston Rockets,C,25.0
Clint Capela,2334520,2017,2018,HOU,Houston Rockets,C,22.0
Luc Mbah a Moute,2116955,2017,2018,HOU,Houston Rockets,SF,30.0
Bobby Brown,1524305,2017,2018,HOU,Houston Rockets,PG,32.0
Troy Williams,1471382,2017,2018,HOU,Houston Rockets,SF,22.0
Chinanu Onuaku,1312611,2017,2018,HOU,Houston Rockets,C,20.0
Zhou Qi,815615,2017,2018,HOU,Houston Rockets,,
Cameron Oliver,300000,2017,2018,HOU,Houston Rockets,,
Chris Johnson,25000,2017,2018,HOU,Houston Rockets,,
Victor Oladipo,21000000,2017,2018,IND,Indiana Pacers,SG,24.0
Thaddeus Young,14796348,2017,2018,IND,Indiana Pacers,PF,28.0
Bojan Bogdanovic,10500000,2017,2018,IND,Indiana Pacers,SF,27.0
Darren Collison,10000000,2017,2018,IND,Indiana Pacers,PG,29.0
Al Jefferson,9769821,2017,2018,IND,Indiana Pacers,C,32.0
Cory Joseph,7630000,2017,2018,IND,Indiana Pacers,PG,25.0
Lance Stephenson,4180000,2017,2018,IND,Indiana Pacers,SG,26.0
Myles Turner,2569920,2017,2018,IND,Indiana Pacers,C,20.0
Domantas Sabonis,2550000,2017,2018,IND,Indiana Pacers,PF,20.0
Monta Ellis,2245400,2017,2018,IND,Indiana Pacers,SG,31.0
Damien Wilkins,2116955,2017,2018,IND,Indiana Pacers,,
T.J. Leaf,2028360,2017,2018,IND,Indiana Pacers,,
Glenn Robinson,1524305,2017,2018,IND,Indiana Pacers,SF,23.0
Joe Young,1471382,2017,2018,IND,Indiana Pacers,PG,24.0
Ike Anigbogu,950000,2017,2018,IND,Indiana Pacers,,
Rakeem Christmas,172552,2017,2018,IND,Indiana Pacers,PF,25.0
Georges Niang,100000,2017,2018,IND,Indiana Pacers,PF,23.0
Blake Griffin,29512900,2017,2018,LAC,Los Angeles Clippers,PF,27.0
DeAndre Jordan,22642350,2017,2018,LAC,Los Angeles Clippers,C,28.0
Danilo Gallinari,20559599,2017,2018,LAC,Los Angeles Clippers,SF,28.0
Austin Rivers,11825000,2017,2018,LAC,Los Angeles Clippers,SG,24.0
Lou Williams,7000000,2017,2018,LAC,Los Angeles Clippers,SG,30.0
Milos Teodosic,6000000,2017,2018,LAC,Los Angeles Clippers,,
Wesley Johnson,5881260,2017,2018,LAC,Los Angeles Clippers,SF,29.0
Patrick Beverley,5513514,2017,2018,LAC,Los Angeles Clippers,SG,28.0
Sam Dekker,1794600,2017,2018,LAC,Los Angeles Clippers,PF,22.0
Willie Reed,1577230,2017,2018,LAC,Los Angeles Clippers,C,26.0
Montrezl Harrell,1471382,2017,2018,LAC,Los Angeles Clippers,C,23.0
Brice Johnson,1331160,2017,2018,LAC,Los Angeles Clippers,PF,22.0
Paul Pierce,1096080,2017,2018,LAC,Los Angeles Clippers,SF,39.0
Jawun Evans,815615,2017,2018,LAC,Los Angeles Clippers,,
Sindarius Thornwell,815615,2017,2018,LAC,Los Angeles Clippers,,
Carlos Delfino,650000,2017,2018,LAC,Los Angeles Clippers,,
Jordan Farmar,510921,2017,2018,LAC,Los Angeles Clippers,PG,30.0
Miroslav Raduljica,300000,2017,2018,LAC,Los Angeles Clippers,,
Brook Lopez,22642350,2017,2018,LAL,Los Angeles Lakers,C,28.0
Kentavious Caldwell-Pope,17745894,2017,2018,LAL,Los Angeles Lakers,SG,23.0
Luol Deng,17190000,2017,2018,LAL,Los Angeles Lakers,SF,31.0
Jordan Clarkson,11562500,2017,2018,LAL,Los Angeles Lakers,SG,24.0
Corey Brewer,7579366,2017,2018,LAL,Los Angeles Lakers,SF,30.0
Lonzo Ball,6286560,2017,2018,LAL,Los Angeles Lakers,,
Brandon Ingram,5519400,2017,2018,LAL,Los Angeles Lakers,SF,19.0
Julius Randle,4149242,2017,2018,LAL,Los Angeles Lakers,PF,22.0
Andrew Bogut,2328652,2017,2018,LAL,Los Angeles Lakers,C,32.0
Tyler Ennis,1524305,2017,2018,LAL,Los Angeles Lakers,PG,22.0
Larry Nance,1471382,2017,2018,LAL,Los Angeles Lakers,PF,24.0
Kyle Kuzma,1423560,2017,2018,LAL,Los Angeles Lakers,,
Josh Hart,1394520,2017,2018,LAL,Los Angeles Lakers,,
Ivica Zubac,1312611,2017,2018,LAL,Los Angeles Lakers,C,19.0
Stephen Zimmerman,1312611,2017,2018,LAL,Los Angeles Lakers,C,20.0
Thomas Bryant,815615,2017,2018,LAL,Los Angeles Lakers,,
Vander Blue,50000,2017,2018,LAL,Los Angeles Lakers,,
V.J. Beachem,50000,2017,2018,LAL,Los Angeles Lakers,,
Briante Weber,50000,2017,2018,LAL,Los Angeles Lakers,PG,24.0
Mike Conley,28530608,2017,2018,MEM,Memphis Grizzlies,PG,29.0
Chandler Parsons,23112004,2017,2018,MEM,Memphis Grizzlies,SF,28.0
Marc Gasol,22642350,2017,2018,MEM,Memphis Grizzlies,C,32.0
JaMychal Green,8533333,2017,2018,MEM,Memphis Grizzlies,PF,26.0
Brandan Wright,5955760,2017,2018,MEM,Memphis Grizzlies,PF,29.0
Ben McLemore,5200000,2017,2018,MEM,Memphis Grizzlies,SG,23.0
Tyreke Evans,3290000,2017,2018,MEM,Memphis Grizzlies,SF,27.0
James Ennis,3028410,2017,2018,MEM,Memphis Grizzlies,SF,26.0
Mario Chalmers,2106407,2017,2018,MEM,Memphis Grizzlies,,
Wade Baldwin,1874400,2017,2018,MEM,Memphis Grizzlies,PG,20.0
Jarell Martin,1471382,2017,2018,MEM,Memphis Grizzlies,PF,22.0
Andrew Harrison,1312611,2017,2018,MEM,Memphis Grizzlies,PG,22.0
Deyonta Davis,1312611,2017,2018,MEM,Memphis Grizzlies,C,20.0
Wayne Selden,1312611,2017,2018,MEM,Memphis Grizzlies,SG,22.0
Ivan Rabb,950000,2017,2018,MEM,Memphis Grizzlies,,
Rade Zagorac,950000,2017,2018,MEM,Memphis Grizzlies,,
Dillon Brooks,815615,2017,2018,MEM,Memphis Grizzlies,,
Chris Bosh,25289390,2017,2018,MIA,Miami Heat,,
Hassan Whiteside,23775506,2017,2018,MIA,Miami Heat,C,27.0
Goran Dragic,17000450,2017,2018,MIA,Miami Heat,PG,30.0
James Johnson,13954000,2017,2018,MIA,Miami Heat,PF,29.0
Dion Waiters,11000000,2017,2018,MIA,Miami Heat,SG,25.0
Kelly Olynyk,10607169,2017,2018,MIA,Miami Heat,C,25.0
Wayne Ellington,6270000,2017,2018,MIA,Miami Heat,SG,29.0
Tyler Johnson,5881260,2017,2018,MIA,Miami Heat,PG,24.0
Justise Winslow,2705040,2017,2018,MIA,Miami Heat,SF,20.0
Bam Adebayo,2490360,2017,2018,MIA,Miami Heat,,
Udonis Haslem,2328652,2017,2018,MIA,Miami Heat,C,36.0
Jordan Mickey,1471382,2017,2018,MIA,Miami Heat,PF,22.0
Josh Richardson,1471382,2017,2018,MIA,Miami Heat,SG,23.0
