Date,AAPL,AMZN,FB,GOOG,MSFT
2016-01-01,105.26,675.89,104.66,758.88,55.48
2016-01-04,105.35,636.99,102.22,741.84,54.8
2016-01-05,102.71,633.79,102.73,742.58,55.05
2016-01-06,100.7,632.65,102.97,743.62,54.05
2016-01-07,96.45,607.94,97.92,726.39,52.17
2016-01-08,96.96,607.05,97.33,714.47,52.33
2016-01-11,98.53,617.74,97.51,716.03,52.3
2016-01-12,99.96,617.89,99.37,726.07,52.78
2016-01-13,97.39,581.81,95.44,700.56,51.64
2016-01-14,99.52,593.0,98.37,714.72,53.11
2016-01-15,97.13,570.18,94.97,694.45,50.99
2016-01-18,97.13,570.18,94.97,694.45,50.99
2016-01-19,96.66,574.48,95.26,701.79,50.56
2016-01-20,96.79,571.77,94.35,698.45,50.79
2016-01-21,96.3,575.02,94.16,706.59,50.48
2016-01-22,101.42,596.38,97.94,725.25,52.29
2016-01-25,99.44,596.53,97.01,711.67,51.79
2016-01-26,99.99,601.25,97.34,713.04,52.17
2016-01-27,93.42,583.35,94.45,699.99,51.22
2016-01-28,94.09,635.35,109.11,730.96,52.055
2016-01-29,97.34,587.0,112.21,742.95,55.09
2016-02-01,96.43,574.81,115.09,752.0,54.71
2016-02-02,94.48,552.1,114.61,764.65,53.0
2016-02-03,96.35,531.07,112.69,726.95,52.16
2016-02-04,96.6,536.26,110.49,708.01,52.0
2016-02-05,94.02,502.13,104.07,683.57,50.16
2016-02-08,95.01,488.1,99.75,682.74,49.41
2016-02-09,94.99,482.07,99.54,678.11,49.28
2016-02-10,94.27,490.48,101.0,684.12,49.71
2016-02-11,93.7,503.82,101.91,683.11,49.69
2016-02-12,93.99,507.08,102.01,682.4,50.5
2016-02-15,93.99,507.08,102.01,682.4,50.5
2016-02-16,96.64,521.1,101.61,691.0,51.09
2016-02-17,98.12,534.1,105.2,708.4,52.42
2016-02-18,96.26,525.0,103.47,697.35,52.19
2016-02-19,96.04,534.9,104.57,700.91,51.82
2016-02-22,96.88,559.5,107.16,706.46,52.65
2016-02-23,94.69,552.94,105.46,695.85,51.18
2016-02-24,96.1,554.04,106.88,699.56,51.36
2016-02-25,96.76,555.15,108.07,705.75,52.1
2016-02-26,96.91,555.23,107.92,705.07,51.3
2016-02-29,96.69,552.52,106.92,697.77,50.88
2016-03-01,100.53,579.04,109.82,718.81,52.58
2016-03-02,100.75,580.21,109.95,718.85,52.95
2016-03-03,101.5,577.49,109.58,712.42,52.35
2016-03-04,103.01,575.14,108.39,710.89,52.03
2016-03-07,101.87,562.8,105.73,695.16,51.03
2016-03-08,101.03,560.26,105.93,693.97,51.65
2016-03-09,101.12,559.47,107.51,705.24,52.84
2016-03-10,101.17,558.93,107.32,712.82,52.05
2016-03-11,102.26,569.61,109.41,726.82,53.07
2016-03-14,102.52,573.37,109.89,730.49,53.17
2016-03-15,104.58,577.02,110.67,728.33,53.59
2016-03-16,105.97,574.27,112.18,736.09,54.35
2016-03-17,105.8,559.44,111.02,737.78,54.66
2016-03-18,105.92,552.08,111.45,737.6,53.49
2016-03-21,105.91,553.98,111.85,742.09,53.86
2016-03-22,106.72,560.48,112.25,740.75,54.07
2016-03-23,106.13,569.63,112.54,738.06,53.97
2016-03-24,105.67,582.95,113.05,735.3,54.21
2016-03-25,105.67,582.95,113.05,735.3,54.21
2016-03-28,105.19,579.87,113.69,733.53,53.54
2016-03-29,107.68,593.86,116.14,744.77,54.71
2016-03-30,109.56,598.69,114.7,750.53,55.05
2016-03-31,108.99,593.64,114.1,744.95,55.23
2016-04-01,109.99,598.5,116.06,749.91,55.57
2016-04-04,111.12,593.19,112.55,745.29,55.43
2016-04-05,109.81,586.14,112.22,737.8,54.56
2016-04-06,110.96,602.08,113.71,745.69,55.12
2016-04-07,108.54,591.43,113.64,740.28,54.46
2016-04-08,108.66,594.6,110.63,739.15,54.42
2016-04-11,109.02,595.93,108.99,736.1,54.31
2016-04-12,110.44,603.17,110.61,743.09,54.65
2016-04-13,112.04,614.82,110.51,751.72,55.35
2016-04-14,112.1,620.75,110.84,753.2,55.36
2016-04-15,109.85,625.89,109.64,759.0,55.65
2016-04-18,107.48,635.35,110.45,766.61,56.46
2016-04-19,106.91,627.9,112.29,753.93,56.39
2016-04-20,107.13,632.99,112.42,752.67,55.59
2016-04-21,105.97,631.0,113.44,759.14,55.78
2016-04-22,105.68,620.5,110.56,718.77,51.78
2016-04-25,105.08,626.2,110.1,723.15,52.11
2016-04-26,104.35,616.88,108.76,708.14,51.44
2016-04-27,97.82,606.57,108.89,705.84,50.94
2016-04-28,94.83,602.0,116.73,691.02,49.9
2016-04-29,93.74,659.59,117.58,693.01,49.87
2016-05-02,93.64,683.85,118.57,698.21,50.61
2016-05-03,95.18,671.32,117.43,692.36,49.78
2016-05-04,94.19,670.9,118.06,695.7,49.87
2016-05-05,93.24,659.09,117.81,701.43,49.94
2016-05-06,92.72,673.95,119.49,711.12,50.39
2016-05-09,92.79,679.75,119.24,712.9,50.07
2016-05-10,93.42,703.07,120.5,723.18,51.02
2016-05-11,92.51,713.23,119.52,715.29,51.05
2016-05-12,90.34,717.93,120.28,713.31,51.51
2016-05-13,90.52,709.92,119.81,710.83,51.08
2016-05-16,93.88,710.66,118.67,716.49,51.83
2016-05-17,93.49,695.27,117.35,706.23,50.51
2016-05-18,94.56,697.45,117.65,706.63,50.81
2016-05-19,94.2,698.52,116.81,700.32,50.32
2016-05-20,95.22,702.8,117.35,709.74,50.62
2016-05-23,96.43,696.75,115.97,704.24,50.03
2016-05-24,97.9,704.2,117.7,720.09,51.59
2016-05-25,99.62,708.35,117.89,725.27,52.12
2016-05-26,100.41,714.91,119.47,724.12,51.89
2016-05-27,100.35,712.24,119.38,732.66,52.32
2016-05-30,100.35,712.24,119.38,732.66,52.32
2016-05-31,99.86,722.79,118.81,735.72,53.0
2016-06-01,98.46,719.44,118.78,734.15,52.85
2016-06-02,97.72,728.24,118.93,730.4,52.48
2016-06-03,97.92,725.54,118.47,722.34,51.79
2016-06-06,98.63,726.73,118.79,716.55,52.13
2016-06-07,99.03,723.74,117.76,716.65,52.1
2016-06-08,98.94,726.64,118.39,728.28,52.04
2016-06-09,99.65,727.65,118.56,728.58,51.62
2016-06-10,98.83,717.91,116.62,719.41,51.48
2016-06-13,97.34,715.24,113.95,718.36,50.14
2016-06-14,97.46,719.3,114.94,718.27,49.83
2016-06-15,97.14,714.26,114.6,718.92,49.69
2016-06-16,97.55,717.51,114.39,710.36,50.39
2016-06-17,95.33,706.39,113.02,691.72,50.13
2016-06-20,95.1,714.01,113.37,693.71,50.07
2016-06-21,95.91,715.82,114.38,695.94,51.19
2016-06-22,95.55,710.6,113.91,697.46,50.99
2016-06-23,96.1,722.08,115.08,701.87,51.91
2016-06-24,93.4,698.96,112.08,675.22,49.83
2016-06-27,92.04,691.36,108.97,668.26,48.43
2016-06-28,93.59,707.95,112.7,680.04,49.44
2016-06-29,94.4,715.6,114.16,684.11,50.54
2016-06-30,95.6,715.62,114.28,692.1,51.17
2016-07-01,95.89,725.68,114.19,699.21,51.16
2016-07-04,95.89,725.68,114.19,699.21,51.16
2016-07-05,94.99,728.1,114.0,694.49,51.17
2016-07-06,95.53,737.61,116.7,697.77,51.38
2016-07-07,95.94,736.57,115.85,695.36,51.38
2016-07-08,96.68,745.81,117.24,705.63,52.3
2016-07-11,96.98,753.78,117.87,715.09,52.59
2016-07-12,97.42,748.21,117.93,720.64,53.21
2016-07-13,96.87,742.63,116.78,716.98,53.51
2016-07-14,98.79,741.2,117.29,720.95,53.74
2016-07-15,98.78,735.44,116.86,719.85,53.7
2016-07-18,99.83,736.07,119.37,733.78,53.96
2016-07-19,99.87,739.95,120.61,736.96,53.09
2016-07-20,99.96,745.72,121.92,741.19,55.91
2016-07-21,99.43,744.43,120.61,738.63,55.8
2016-07-22,98.66,744.86,121.0,742.74,56.57
2016-07-25,97.34,739.61,121.63,739.77,56.73
2016-07-26,96.67,735.59,121.22,738.42,56.76
2016-07-27,102.95,736.67,123.34,741.77,56.19
2016-07-28,104.34,752.61,125.0,745.91,56.21
2016-07-29,104.21,758.81,123.94,768.79,56.68
2016-08-01,106.05,767.74,124.31,772.88,56.58
2016-08-02,104.48,760.58,123.09,771.07,56.58
2016-08-03,105.79,754.64,122.51,773.18,56.97
2016-08-04,105.87,760.77,124.36,771.61,57.39
2016-08-05,107.48,765.98,125.15,782.22,57.96
2016-08-08,108.37,766.56,125.26,781.76,58.06
2016-08-09,108.81,768.31,125.06,784.26,58.2
2016-08-10,108.0,768.56,124.88,784.68,58.02
2016-08-11,107.93,771.24,124.9,784.85,58.3
2016-08-12,108.18,772.56,124.88,783.22,57.94
2016-08-15,109.48,768.49,123.9,782.44,58.12
2016-08-16,109.38,764.04,123.3,777.14,57.44
2016-08-17,109.22,764.63,124.37,779.91,57.56
2016-08-18,109.08,764.46,123.91,777.5,57.6
2016-08-19,109.36,757.31,123.56,775.42,57.62
2016-08-22,108.51,759.48,124.15,772.15,57.67
2016-08-23,108.85,762.45,124.37,772.08,57.89
2016-08-24,108.03,757.25,123.48,769.64,57.95
2016-08-25,107.57,759.22,123.89,769.41,58.17
2016-08-26,106.94,769.0,124.96,769.54,58.03
2016-08-29,106.82,771.29,126.54,772.15,58.1
2016-08-30,106.0,767.58,125.84,769.09,57.89
2016-08-31,106.1,769.16,126.12,767.05,57.46
2016-09-01,106.73,770.62,126.17,768.78,57.59
2016-09-02,107.73,772.44,126.51,771.46,57.67
2016-09-05,107.73,772.44,126.51,771.46,57.67
2016-09-06,107.7,788.87,129.73,780.08,57.61
2016-09-07,108.36,784.48,131.05,780.35,57.66
2016-09-08,105.52,784.06,130.27,775.32,57.43
2016-09-09,103.13,760.14,127.1,759.66,56.21
2016-09-12,105.44,771.49,128.69,769.02,57.05
2016-09-13,107.95,761.01,127.21,759.69,56.53
2016-09-14,111.77,761.09,127.77,762.49,56.26
2016-09-15,115.57,769.69,128.35,771.76,57.19
2016-09-16,114.92,778.52,129.07,768.88,57.25
2016-09-19,113.58,775.1,128.65,765.7,56.93
2016-09-20,113.57,780.22,128.64,771.41,56.81
2016-09-21,113.55,789.74,129.94,776.22,57.76
2016-09-22,114.62,804.7,130.08,787.21,57.82
2016-09-23,112.71,805.75,127.96,786.9,57.43
2016-09-26,112.88,799.16,127.31,774.21,56.9
2016-09-27,113.09,816.11,128.69,783.01,57.95
2016-09-28,113.95,828.72,129.23,781.56,58.03
2016-09-29,112.18,829.05,128.09,775.01,57.4
2016-09-30,113.05,837.31,128.27,777.29,57.6
2016-10-03,112.52,836.74,128.77,772.56,57.42
2016-10-04,113.0,834.03,128.19,776.43,57.24
2016-10-05,113.05,844.36,128.47,776.47,57.64
2016-10-06,113.89,841.66,128.74,776.86,57.74
2016-10-07,114.06,839.43,128.99,775.08,57.8
2016-10-10,116.05,841.71,130.24,785.94,58.04
2016-10-11,116.3,831.0,128.88,783.07,57.19
2016-10-12,117.34,834.09,129.05,786.14,57.11
2016-10-13,116.98,829.28,127.82,778.19,56.92
2016-10-14,117.63,822.96,127.88,778.53,57.42
2016-10-17,117.55,812.95,127.54,779.96,57.22
2016-10-18,117.47,817.65,128.57,795.26,57.66
2016-10-19,117.12,817.69,130.11,801.56,57.53
2016-10-20,117.06,810.32,130.0,796.97,57.25
2016-10-21,116.6,818.99,132.07,799.37,59.66
2016-10-24,117.65,838.09,133.28,813.11,61.0
2016-10-25,118.25,835.18,132.29,807.67,60.99
2016-10-26,115.59,822.59,131.04,799.07,60.63
2016-10-27,114.48,818.36,129.69,795.35,60.1
2016-10-28,113.72,776.32,131.29,795.37,59.87
2016-10-31,113.54,789.82,130.99,784.54,59.92
2016-11-01,111.49,785.41,129.5,783.61,59.8
2016-11-02,111.59,765.56,127.17,768.7,59.43
2016-11-03,109.83,767.03,120.0,762.13,59.21
2016-11-04,108.84,755.05,120.75,762.02,58.71
2016-11-07,110.41,784.93,122.15,782.52,60.42
2016-11-08,111.06,787.75,124.22,790.51,60.47
2016-11-09,110.88,771.88,123.18,785.31,60.17
2016-11-10,107.79,742.38,120.8,762.56,58.7
2016-11-11,108.43,739.01,119.02,754.02,59.02
2016-11-14,105.71,719.07,115.08,736.08,58.12
2016-11-15,107.11,743.24,117.2,758.49,58.87
2016-11-16,109.99,746.49,116.34,764.48,59.65
2016-11-17,109.95,756.4,117.79,771.23,60.64
2016-11-18,110.06,760.16,117.02,760.54,60.35
2016-11-21,111.73,780.0,121.77,769.2,60.86
2016-11-22,111.8,785.33,121.47,768.27,61.12
2016-11-23,111.23,780.12,120.84,760.99,60.4
2016-11-24,111.23,780.12,120.84,760.99,60.4
2016-11-25,111.79,780.37,120.38,761.68,60.53
2016-11-28,111.57,766.77,120.41,768.24,60.61
2016-11-29,111.46,762.52,120.87,770.84,61.09
2016-11-30,110.52,750.57,118.42,758.04,60.26
2016-12-01,109.49,743.65,115.1,747.92,59.2
2016-12-02,109.9,740.34,115.4,750.5,59.25
2016-12-05,109.11,759.36,117.43,762.52,60.22
2016-12-06,109.95,764.72,117.31,759.11,59.95
2016-12-07,111.03,770.42,117.95,771.19,61.37
2016-12-08,112.12,767.33,118.91,776.42,61.01
2016-12-09,113.95,768.66,119.68,789.29,61.97
2016-12-12,113.3,760.12,117.77,789.27,62.17
2016-12-13,115.19,774.34,120.31,796.1,62.98
2016-12-14,115.19,768.82,120.21,797.07,62.68
2016-12-15,115.82,761.0,120.57,797.85,62.58
2016-12-16,115.97,757.77,119.87,790.8,62.3
2016-12-19,116.64,766.0,119.24,794.2,63.62
2016-12-20,116.95,771.22,119.09,796.42,63.54
2016-12-21,117.06,770.6,119.04,794.56,63.54
2016-12-22,116.29,766.34,117.4,791.26,63.55
2016-12-23,116.52,760.59,117.27,789.91,63.24
2016-12-26,116.52,760.59,117.27,789.91,63.24
2016-12-27,117.26,771.4,118.01,791.55,63.28
2016-12-28,116.76,772.13,116.92,785.05,62.99
2016-12-29,116.73,765.15,116.35,782.79,62.9
2016-12-30,115.82,749.87,115.05,771.82,62.14
2017-01-02,115.82,749.87,115.05,771.82,62.14
2017-01-03,116.15,753.67,116.86,786.14,62.58
2017-01-04,116.02,757.18,118.69,786.9,62.3
2017-01-05,116.61,780.45,120.67,794.02,62.3
2017-01-06,117.91,795.99,123.41,806.15,62.84
2017-01-09,118.99,796.92,124.9,806.65,62.64
2017-01-10,119.11,795.9,124.35,804.79,62.62
2017-01-11,119.75,799.02,126.09,807.91,63.19
2017-01-12,119.25,813.64,126.62,806.36,62.61
2017-01-13,119.04,817.14,128.34,807.88,62.7
2017-01-16,119.04,817.14,128.34,807.88,62.7
2017-01-17,120.0,809.72,127.87,804.61,62.53
2017-01-18,119.99,807.48,127.92,806.07,62.5
2017-01-19,119.78,809.04,127.55,802.175,62.3
2017-01-20,120.0,808.33,127.04,805.02,62.74
2017-01-23,120.08,817.88,128.93,819.31,62.96
2017-01-24,119.97,822.44,129.37,823.87,63.52
2017-01-25,121.88,836.52,131.48,835.67,63.68
2017-01-26,121.94,839.15,132.78,832.15,64.27
2017-01-27,121.95,835.77,132.18,823.31,65.78
2017-01-30,121.63,830.38,130.98,802.32,65.13
2017-01-31,121.35,823.48,130.32,796.79,64.65
2017-02-01,128.75,832.35,133.23,795.695,63.58
2017-02-02,128.53,839.95,130.84,798.53,63.17
